시도,시군구,면적_km2,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km,산업용전력_2024_kWh,산업용전력_2023_kWh,평균급여_만원,lat,lng
강원,횡성군,997.51,6.0,6.015,옥계항,90.3,277596730.0,267675758,3508.7,37.50901,128.07713
경기,가평군,840.5,1.0,1.19,서울항,55.7,93279793.0,96590463,3549.3,37.81856,127.45018
경기,고양시,266.21,2.0,7.513,서울항,17.2,777150182.0,770608677,4509.6,37.66496,126.83693
경기,과천시,35.75,0.0,0.0,서울항,12.4,50369589.0,49190053,6832.9,37.4339,127.00272
경기,광명시,38.48,1.0,25.988,서울항,11.2,267429300.0,249049617,4657.7,37.44515,126.86472
경기,광주시,429.67,5.0,11.637,서울항,35.5,1098738741.0,1116072495,3839.5,37.40307,127.30116
경기,구리시,33.21,7.0,210.78,서울항,19.2,125070920.0,118217368,4175.0,37.59922,127.13122
경기,군포시,36.32,5.0,137.665,서울항,20.8,565134462.0,576870636,4378.8,37.34347,126.92118
경기,김포시,278.39,1.0,3.592,경인항,13.0,2150374130.0,2194317872,4218.0,37.68164,126.62628
경기,남양주시,459.46,6.0,13.059,서울항,31.1,948593777.0,951705597,3945.4,37.66254,127.24363
경기,동두천시,95.94,0.0,0.0,서울항,44.8,215677147.0,227731586,3136.2,37.91654,127.07793
경기,부천시,53.76,3.0,55.804,서울항,13.0,1618318513.0,1597327431,3885.9,37.50423,126.78875
경기,성남시,141.57,3.0,21.191,서울항,21.2,865191670.0,868158823,5878.7,37.40734,127.11627
경기,수원시,120.69,4.0,33.143,서울항,28.6,686502983.0,672294295,4925.0,37.28037,127.00771
경기,시흥시,141.52,3.0,21.198,서울항,20.7,2839474319.0,2826589602,3842.3,37.38612,126.78364
경기,안산시,172.09,4.0,23.244,평택당진항,28.5,5436440046.0,5573307754,3732.0,37.29077,126.74685
경기,안성시,553.31,7.0,12.651,평택당진항,49.3,2122848802.0,2087721854,3722.1,37.03502,127.30282
경기,안양시,58.46,3.0,51.317,서울항,14.2,429699293.0,454608243,4773.0,37.40266,126.92789
경기,양주시,310.41,2.0,6.443,서울항,31.5,1062134385.0,1092909828,3515.0,37.80865,127.00116
경기,양평군,876.43,4.0,4.564,서울항,57.1,126311499.0,121635402,4067.3,37.51802,127.5792
경기,여주시,607.22,4.0,6.587,서울항,65.5,542890439.0,536370095,3664.4,37.30248,127.61566
경기,연천군,696.06,0.0,0.0,서울항,63.5,214982991.0,209430905,3521.3,38.09709,127.02394
경기,오산시,42.6,2.0,46.948,평택당진항,30.5,572135829.0,557100474,4082.7,37.16328,127.05119
경기,용인시,591.43,9.0,15.217,서울항,42.8,5460630892.0,5593502786,5397.4,37.22152,127.22171
경기,의왕시,53.92,2.0,37.092,서울항,19.4,146915596.0,147590893,4821.2,37.36231,126.98953
경기,의정부시,81.87,0.0,0.0,서울항,25.9,225154254.0,243336812,3557.6,37.73623,127.06844
경기,이천시,461.72,5.0,10.829,서울항,60.2,4360848508.0,5090017914,4598.2,37.20985,127.4809
