시도,시군구,code,면적_km2,lat,lng,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km
충남,청양군,34350,479.55,36.43056,126.85303,1,2.085,보령항,32.9
충남,홍성군,34360,443.19,36.57006,126.62568,1,2.256,보령항,17.9
충남,예산군,34370,543.51,36.67061,126.78422,3,5.52,보령항,35.9
충남,태안군,34380,534.61,36.7074,126.27918,0,0.0,태안항,22.6
전북,전주시완산구,35011,94.12,35.79206,127.11955,0,0.0,군산항,41.3
전북,전주시덕진구,35012,111.31,35.85881,127.11263,3,26.952,군산항,37.3
전북,군산시,35020,411.33,35.94881,126.71858,2,4.862,군산항,4.2
전북,익산시,35030,507.51,36.02317,126.98949,2,3.941,군산항,23.8
전북,정읍시,35040,697.84,35.60266,126.90589,5,7.165,군산항,45.5
전북,남원시,35050,750.29,35.42251,127.44196,8,10.663,하동항,62.3
전북,김제시,35060,544.48,35.80686,126.89607,5,9.183,군산항,24.9
전북,완주군,35310,822.41,35.91877,127.21522,7,8.512,군산항,44.4
전북,진안군,35320,789.09,35.82888,127.43007,1,1.267,군산항,65.5
전북,무주군,35330,629.66,35.93936,127.71295,2,3.176,군산항,88.7
전북,장수군,35340,531.91,35.65757,127.54437,1,1.88,군산항,82.1
전북,임실군,35350,596.59,35.59824,127.23665,2,3.352,군산항,62.9
전북,순창군,35360,499.95,35.43362,127.09007,3,6.001,군산항,69.5
전북,고창군,35370,612.11,35.44906,126.61583,3,4.901,군산항,60.5
전북,부안군,35380,497.86,35.67761,126.64216,2,4.017,군산항,35.1
전남,목포시,36010,53.73,34.80281,126.39047,0,0.0,목포항,2.3
전남,여수시,36020,521.77,34.69454,127.65245,0,0.0,여수항,8.3
전남,순천시,36030,911.85,34.99453,127.3894,9,9.87,하동항,37.1
전남,나주시,36040,606.09,34.98861,126.72043,2,3.3,목포항,37.4
전남,광양시,36060,466.76,35.01947,127.65593,4,8.57,하동항,15.2
전남,담양군,36310,453.54,35.29154,126.99527,3,6.615,목포항,77.8
전남,곡성군,36320,548.39,35.2166,127.26355,3,5.471,하동항,57.0
전남,구례군,36330,439.65,35.23679,127.50312,1,2.275,하동항,42.1
전남,고흥군,36350,815.56,34.59815,127.315,1,1.226,여수항,40.9
전남,보성군,36360,665.94,34.81428,127.16257,4,6.007,여수항,52.9
전남,화순군,36370,788.26,35.0082,127.03353,0,0.0,목포항,64.2
전남,장흥군,36380,622.72,34.67528,126.922,2,3.212,목포항,52.8
전남,강진군,36390,501.43,34.62031,126.77219,1,1.994,목포항,42.6
전남,해남군,36400,1048.19,34.55857,126.51135,0,0.0,목포항,31.2
전남,영암군,36410,602.61,34.79697,126.62619,3,4.978,목포항,23.5
전남,무안군,36420,455.3,34.95374,126.42521,8,17.571,목포항,16.3
전남,함평군,36430,389.83,35.11268,126.53548,3,7.696,목포항,36.5
전남,영광군,36440,480.9,35.27902,126.45031,3,6.238,목포항,52.2
전남,장성군,36450,518.29,35.32961,126.76861,4,7.718,목포항,67.8
전남,완도군,36460,408.07,34.29451,126.77847,0,0.0,목포항,68.8
전남,진도군,36470,453.57,34.43656,126.21102,0,0.0,목포항,44.4
전남,신안군,36480,680.87,34.80975,126.0423,0,0.0,목포항,29.9
